R1i,R2i,R6i,R7i,R8i,R10i,R11i,R13i,R21i,R22i,R23i,R25i,R26i,R31i,T6i,T20i,R3r,R4,R5,R9,R12,R14,R15,R16,R17,R24,R27,R30,R32,T1r,T2r,T3,T4,T5,T7,T8,T9,T10,T11,T12,T13,T19,T21,T22
0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,8,0,0,8,0,0,0,0,8,-8,0,15,1,-7,8,0,1,0,-8,-8,0,30,15,15,-8,0,0,0,0
0,0,0,0,24,0,0,0,0,0,0,0,0,3,0,22,22,0,22,0,0,0,0,22,-24,0,43,3,-21,24,0,3,22,0,-24,0,0,43,43,-24,0,-2,0,0
0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,8,8,0,8,0,0,0,0,8,-8,0,15,1,-7,8,0,1,8,0,-8,0,-2,15,15,-8,0,0,0,0
0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,16,15,0,16,0,0,0,0,16,-16,0,30,2,-14,16,0,2,15,-1,-16,0,0,30,30,-16,0,0,0,0
0,0,0,0,24,0,0,0,0,0,0,0,0,3,0,22,22,0,22,0,0,0,0,22,-24,0,43,3,-21,24,-24,3,22,0,0,0,0,43,43,-24,0,22,0,0
0,0,0,0,24,0,0,0,0,0,0,0,0,3,0,22,22,0,22,0,0,0,0,22,-24,0,43,3,-21,24,-2,3,22,0,-22,0,0,43,43,-24,0,0,0,0
0,0,0,0,24,0,0,0,0,0,0,0,0,3,0,14,14,0,14,0,0,0,24,14,0,0,59,3,-21,24,0,3,14,0,0,0,0,59,59,0,0,14,0,0
0,0,0,0,24,0,0,0,0,0,0,0,0,3,0,14,14,0,14,0,0,0,24,14,0,0,59,3,-21,24,14,3,14,0,-14,0,0,59,59,0,0,0,0,0
0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,29,29,0,29,0,0,0,-43,29,-59,0,0,2,-14,16,0,2,29,0,-59,0,0,0,0,-59,0,-30,0,0
0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,29,29,0,29,0,0,0,-43,29,-59,0,0,2,-14,16,-59,2,29,0,0,0,0,0,0,-59,0,29,0,0
0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,29,29,0,29,0,0,0,-43,29,-59,0,0,2,-14,16,-30,2,29,0,-29,0,0,0,0,-59,0,0,0,0
